date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
2008-05-24,France,Ireland,22,22,,,,,False,False
2008-06-28,Australia,France,34,13,"2008 France Tour of Australia","ANZ Stadium",Sydney,Australia,False,False
2008-07-05,Australia,France,40,10,"2008 France Tour of Australia","Suncorp Stadium",Brisbane,Australia,False,False
2008-11-08,France,Argentina,12,6,"2008 Argentina Tour of France, Italy & Ireland","Stade Velodrome",Marseille,France,False,False
2008-11-15,France,"Pacific Islanders",42,17,"2008 Pacific Islanders Tour of Europe","Stade Auguste Bonal",Sochaux,France,False,False
2008-11-22,France,Australia,13,18,"2008 Australia Tour of Europe","Stade de France","St Denis",France,False,False
2009-02-07,Ireland,France,30,21,"2009 Six Nations","Croke Park",Dublin,Ireland,False,False
2009-02-14,France,Scotland,22,13,"2009 Six Nations","Stade de France","St Denis",France,False,False
2009-02-27,France,Wales,21,16,"2009 Six Nations","Stade de France","St Denis",France,False,False
2009-03-15,England,France,34,10,"2009 Six Nations",Twickenham,London,England,False,False
2009-03-21,Italy,France,8,50,"2009 Six Nations","Stadio Flaminio",Roma,Italy,False,False
2009-06-14,"New Zealand",France,22,27,"2009 France Tour of New Zealand & Australia",Carisbrook,Dunedin,"New Zealand",False,False
2009-06-20,"New Zealand",France,14,10,"2009 France Tour of New Zealand & Australia","Westpac Trust Stadium",Wellington,"New Zealand",False,False
2009-06-27,Australia,France,22,6,"2009 France Tour of New Zealand & Australia","ANZ Stadium",Sydney,Australia,False,False
2009-11-13,France,"South Africa",20,13,"2009 South Africa Tour of Europe",Stadium,Toulouse,France,False,False
2009-11-18,France,Canada,5,14,,"Stade Bourillot",Dijon,France,False,False
2009-11-21,France,Canada,22,0,,"Stade de France","St Denis",France,False,False
2009-11-21,France,Samoa,43,5,"2009 Samoa Tour of Europe","Stade de France","St Denis",France,False,False
2009-11-28,France,"New Zealand",12,39,"2009 New Zealand Tour of Europe","Stade Velodrome",Marseille,France,False,False
2010-02-07,Scotland,France,9,18,"2010 Six Nations",Murrayfield,Edinburgh,Scotland,False,False
2010-02-13,France,Ireland,33,10,"2010 Six Nations","Stade de France","St Denis",France,False,False
2010-02-26,Wales,France,20,26,"2010 Six Nations","Millennium Stadium",Cardiff,Wales,False,False
2010-03-14,France,Italy,46,20,"2010 Six Nations","Stade de France","St Denis",France,False,False
2010-03-20,France,England,12,10,"2010 Six Nations","Stade de France","St Denis",France,False,False
2010-06-12,"South Africa",France,42,17,"2010 France Tour of Argentina & South Africa","Newlands Stadium","Cape Town","South Africa",False,False
2010-06-18,"Argentina Jaguars",France,14,37,"2010 France Tour of Argentina & South Africa","La Plata RC","La Plata",Argentina,False,False
2010-06-26,Argentina,France,41,13,"2010 France Tour of Argentina & South Africa","Velez Sarsfield Stadium","Buenos Aires",Argentina,False,False
2010-11-13,France,Fiji,34,12,"2010 Fiji Tour of Europe","Stade de la Beaujoire",Nantes,France,False,False
2010-11-20,France,Argentina,15,9,"2010 Argentina Tour of Europe","Stade de la Mosson",Montpellier,France,False,False
2010-11-27,France,Australia,16,59,"2010 Australia Tour of Europe","Stade de France","St Denis",France,False,False
2011-02-05,France,Scotland,34,21,"2011 Six Nations","Stade de France","St Denis",France,False,False
2011-02-13,Ireland,France,22,25,"2011 Six Nations","Aviva Stadium",Dublin,Ireland,False,False
2011-02-26,England,France,17,9,"2011 Six Nations",Twickenham,London,England,False,False
2011-03-12,Italy,France,22,21,"2011 Six Nations","Stadio Flaminio",Roma,Italy,False,False
2011-03-19,France,Wales,28,9,"2011 Six Nations","Stade de France","St Denis",France,False,False
2011-08-13,France,Ireland,19,12,"2011 Men's Internationals","Stade Chaban Delmas",Bordeaux,France,False,False
2011-08-20,Ireland,France,22,26,"2011 Men's Internationals","Aviva Stadium",Dublin,Ireland,False,False
2011-09-10,France,Japan,47,21,"Rugby World Cup 2011","QBE Stadium","North Harbour","New Zealand",False,True
2011-09-18,France,Canada,46,19,"Rugby World Cup 2011","McLean Park",Napier,"New Zealand",False,True
2011-09-24,"New Zealand",France,37,17,"Rugby World Cup 2011","Eden Park",Auckland,"New Zealand",False,True
2011-10-01,France,Tonga,14,19,"Rugby World Cup 2011","Wellington Regional Stadium",Wellington,"New Zealand",False,True
2011-10-08,England,France,12,19,"Rugby World Cup 2011","Eden Park",Auckland,"New Zealand",False,True
2011-10-15,Wales,France,8,9,"Rugby World Cup 2011","Eden Park",Auckland,"New Zealand",False,True
2011-10-23,France,"New Zealand",7,8,"Rugby World Cup 2011","Eden Park",Auckland,"New Zealand",False,True
2011-10-29,France,Italy,37,0,,"Stade des Arboras",Nice,France,False,False
2011-11-02,France,England,14,5,,"Stade Jean Bouin",Marseille,France,False,False
2011-11-05,France,England,16,15,,"Stade Pierre de Coubertin",Chateaurenard,France,False,False
2012-02-04,France,Italy,30,12,"2012 Six Nations","Stade de France","St Denis",France,False,False
2012-02-26,Scotland,France,17,23,"2012 Six Nations",Murrayfield,Edinburgh,Scotland,False,False
2012-03-04,France,Ireland,17,17,"2012 Six Nations","Stade de France","St Denis",France,False,False
2012-03-11,France,England,22,24,"2012 Six Nations","Stade de France","St Denis",France,False,False
2012-03-17,Wales,France,16,9,"2012 Six Nations","Millennium Stadium",Cardiff,Wales,False,False
2012-06-16,Argentina,France,23,20,"2012 France Tour of Argentina","Estadio Mario Alberto Kempes",Cordoba,Argentina,False,False
2012-06-23,Argentina,France,10,49,"2012 France Tour of Argentina","Estadio José Fierro","San Miguel de Tucumán",Argentina,False,False
2012-11-10,France,Australia,33,6,"2012 Australia Tour of Europe","Stade de France","St Denis",France,False,False
2012-11-17,France,Argentina,39,22,"2012 Argentina Tour of Europe","Grand Stade Lille Metropole",Lille,France,False,False
2012-11-24,France,Samoa,22,14,"2012 Samoa Tour of Europe","Stade de France","St Denis",France,False,False
2013-02-03,Italy,France,23,18,"2013 Six Nations","Stadio Olimpico",Roma,Italy,False,False
2013-02-09,France,Wales,6,16,"2013 Six Nations","Stade de France","St Denis",France,False,False
2013-02-23,England,France,23,13,"2013 Six Nations",Twickenham,London,England,False,False
2013-03-09,Ireland,France,13,13,"2013 Six Nations","Aviva Stadium",Dublin,Ireland,False,False
2013-03-16,France,Scotland,23,16,"2013 Six Nations","Stade de France","St Denis",France,False,False
2013-06-08,USA,France,13,10,,"Oxnard College",California,"United States",False,False
2013-06-08,"New Zealand",France,23,13,"2013 France Tour (NZL)","Eden Park",Auckland,"New Zealand",False,False
2013-06-11,Blues,France,15,38,"2013 France Tour (NZL)","North Harbour Stadium","North Harbour","New Zealand",False,False
2013-06-12,USA,France,25,27,,"Oxnard College",California,"United States",False,False
2013-06-15,USA,France,12,18,,"StubHub Center","Carson, California","United States",False,False
2013-06-15,"New Zealand",France,30,0,"2013 France Tour (NZL)","Christchurch Stadium",Christchurch,"New Zealand",False,False
2013-06-22,"New Zealand",France,24,9,"2013 France Tour (NZL)","Yarrows Stadium","New Plymouth","New Zealand",False,False
2013-11-09,France,"New Zealand",19,26,"2013 New Zealand Tour (ENG/FRA/IRL/JPN)","Stade de France","St Denis",France,False,False
2013-11-16,France,Tonga,38,18,"2013 Tonga Tour (FRA/ROM/WAL)","Stade Oceane","Le Havre",France,False,False
2013-11-23,France,"South Africa",10,19,"2013 South Africa Tour (FRA/SCO/WAL)","Stade de France","St Denis",France,False,False
2014-02-01,France,England,26,24,"2014 Six Nations","Stade de France","St Denis",France,False,False
2014-02-09,France,Italy,30,10,"2014 Six Nations","Stade de France","St Denis",France,False,False
2014-02-21,Wales,France,27,6,"2014 Six Nations","Millennium Stadium",Cardiff,Wales,False,False
2014-03-08,Scotland,France,17,19,"2014 Six Nations",Murrayfield,Edinburgh,Scotland,False,False
2014-03-15,France,Ireland,20,22,"2014 Six Nations","Stade de France","St Denis",France,False,False
2014-06-07,Australia,France,50,23,"2014 France Tour (AUS)","Suncorp Stadium",Brisbane,Australia,False,False
2014-06-14,Australia,France,6,0,"2014 France Tour (AUS)","Etihad Stadium",Melbourne,Australia,False,False
2014-06-21,Australia,France,39,13,"2014 France Tour (AUS)","Allianz Stadium",Sydney,Australia,False,False
2014-11-08,France,Fiji,40,15,"2014 Fiji Tour (FRA/USA/WAL)","Stade Velodrome",Marseille,France,False,False
2014-11-15,France,Australia,29,26,"2014 Australia Tour (ENG/FRA/IRL/WAL)","Stade de France","St Denis",France,False,False
2014-11-22,France,Argentina,13,18,"2014 Argentina Tour (FRA/ITA/SCO)","Stade de France","St Denis",France,False,False
2015-02-07,France,Scotland,15,8,"2015 Six Nations","Stade de France","St Denis",France,False,False
2015-02-14,Ireland,France,18,11,"2015 Six Nations","Aviva Stadium",Dublin,Ireland,False,False
2015-02-28,France,Wales,13,20,"2015 Six Nations","Stade de France","St Denis",France,False,False
2015-03-15,Italy,France,0,29,"2015 Six Nations","Stadio Olimpico",Roma,Italy,False,False
2015-03-21,England,France,55,35,"2015 Six Nations",Twickenham,London,England,False,False
2015-08-15,England,France,19,14,"2015 Men's Internationals",Twickenham,London,England,False,False
2015-08-22,France,England,25,20,"2015 Men's Internationals","Stade de France","St Denis",France,False,False
2015-09-05,France,Scotland,19,16,"2015 Men's Internationals","Stade de France","St Denis",France,False,False
2015-09-19,France,Italy,32,10,"Rugby World Cup 2015",Twickenham,London,England,False,True
2015-09-23,France,Romania,38,11,"Rugby World Cup 2015","The Stadium, Queen Elizabeth Olympic Park",London,England,False,True
2015-10-01,France,Canada,41,18,"Rugby World Cup 2015",Stadiummk,"Milton Keynes",England,False,True
2015-10-11,France,Ireland,9,24,"Rugby World Cup 2015","Millennium Stadium",Cardiff,Wales,False,True
2015-10-17,"New Zealand",France,62,13,"Rugby World Cup 2015","Millennium Stadium",Cardiff,Wales,False,True
2016-02-06,France,Italy,23,21,"2016 Six Nations","Stade de France","St Denis",France,False,False
2016-02-13,France,Ireland,10,9,"2016 Six Nations","Stade de France","St Denis",France,False,False
2016-02-26,Wales,France,19,10,"2016 Six Nations","Principality Stadium",Cardiff,Wales,False,False
2016-03-13,Scotland,France,29,18,"2016 Six Nations",Murrayfield,Edinburgh,Scotland,False,False
2016-03-19,France,England,21,31,"2016 Six Nations","Stade de France","St Denis",France,False,False
2016-06-19,Argentina,France,30,19,"2016 Men's Internationals","Stade Monumental Jose Fierro",Tucumán,Argentina,False,False
2016-06-25,Argentina,France,0,27,"2016 Men's Internationals","Stade Monumental Jose Fierro",Tucumán,Argentina,False,False
2016-11-12,France,Samoa,52,8,"2016 Samoa Tour (FRA/GEO)",Stadium,Toulouse,France,False,False
2016-11-19,France,Australia,23,25,"2016 Australia Tour (ENG/FRA/IRL/SCO/WAL)","Stade de France","St Denis",France,False,False
2016-11-26,France,"New Zealand",19,24,"2016 New Zealand Tour (USA/IRL/ITA/FRA)","Stade de France","St Denis",France,False,False
2017-02-04,England,France,19,16,"2017 Six Nations",Twickenham,London,England,False,False
2017-02-12,France,Scotland,22,16,"2017 Six Nations","Stade de France","St Denis",France,False,False
